"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.655018833E0,5.742317517E-2,2.938043140E-2,-7.111559093E-2,9.601071851E-2
2.665045833E0,4.224101221E-2,9.614898294E-2,-1.241129994E-1,1.625821843E-1
2.675072833E0,1.081298182E-1,9.270522874E-2,-4.883711457E-2,1.505701855E-1
2.685100833E0,-5.101685150E-2,1.675364694E-1,-7.804044843E-2,1.917328853E-1
2.695127833E0,-2.875613149E-2,2.855352182E-1,-1.985726130E-1,3.489818886E-1
2.705154833E0,-1.142979912E-1,3.762826895E-1,-9.516635835E-2,4.046100949E-1
2.715182833E0,-2.274246754E-1,7.691038629E-1,-1.715385962E-1,8.201635355E-1
2.725209833E0,-4.915374130E-1,1.504454966E0,-1.854608166E-1,1.593546199E0
2.735236833E0,-4.899821998E-1,2.825164981E0,-3.210331893E-1,2.885255973E0
2.745264833E0,1.126476511E-1,4.295499689E0,-1.964184988E-1,4.301463390E0
2.755291833E0,1.723727197E-3,6.226487110E0,-8.619380593E-2,6.227083914E0
2.765318833E0,-9.004880212E-1,8.434999757E0,-1.223184890E-1,8.483811726E0
2.775346833E0,1.865155959E0,1.034041730E1,-9.305855405E-1,1.054841345E1
2.785373833E0,1.265044814E0,1.168341398E1,-5.585383183E-1,1.176496773E1
2.795400833E0,8.623309922E-1,1.257617038E1,-7.052110451E-1,1.262541083E1
2.805428833E0,-1.906441723E-1,1.235844345E1,-1.108647290E0,1.240953539E1
2.815455833E0,-2.746283995E0,1.161723169E1,-3.760057873E-1,1.194334661E1
2.825482833E0,-4.667187234E-1,1.146966200E1,-9.829491109E-1,1.152116147E1
2.835510833E0,5.282793975E-2,1.105986457E1,-6.692073995E-1,1.108021812E1
2.845537833E0,1.367829656E-1,1.046469753E1,-3.431485283E-1,1.047121554E1
2.855564833E0,3.723149699E-2,9.853081115E0,-4.602881384E-1,9.863896736E0
2.865592833E0,-1.996434940E-2,9.253202398E0,-5.464351666E-1,9.269344345E0
2.875619833E0,-3.697946829E-2,8.680004525E0,-7.454644471E-1,8.712035542E0
2.885646833E0,-2.218924602E-1,8.002812753E0,7.477419376E-3,8.005891839E0
2.895674833E0,-1.174387098E0,7.568733589E0,-7.757044923E-1,7.698482361E0
2.905701833E0,-9.193207334E-1,6.745954918E0,-4.025603324E-1,6.820198911E0
2.915728833E0,-3.267222743E-1,6.079513251E0,-2.050302780E-1,6.091737538E0
2.925756833E0,1.831873461E-1,5.253115738E0,-8.051528245E-1,5.317617289E0
2.935783833E0,-1.177556234E-1,4.361970544E0,-1.599218743E0,4.647381414E0
2.945810833E0,-1.863609662E0,3.364288204E0,-5.634921378E0,6.822302766E0
